Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;11340;11340;0;1939;0;84000;0
0;17280;17280;0;53;0;55125;0
0;24192;24192;0;1574;0;39375;4461
0;26250;26250;0;267;0;36288;330
0;36288;36288;0;157;0;26250;203
0;39375;39375;0;790;0;24192;2499
0;45000;45000;0;1272;0;21168;4747
0;48000;48000;0;1635;0;19845;6352
0;59535;59535;0;1037;0;16000;3585
0;61250;61250;0;1395;0;15552;4259
0;189000;189000;0;3803;0;5040;5620
0;220500;220500;0;223;0;4320;204
0;226800;226800;0;1112;0;4200;1889
0;238140;238140;0;14677;0;4000;19246
0;254016;254016;0;3103;0;3750;3419
0;272160;272160;0;10157;0;3500;12040
0;280000;280000;0;4564;0;3402;4788
0;294000;294000;0;11619;0;3240;13263
0;302400;302400;0;20013;0;3150;23380
0;330750;330750;0;1343;0;2880;1123
0;420000;420000;0;10181;0;2268;8855
0;425250;425250;0;37270;0;2240;31788
0;441000;441000;0;1873;0;2160;1548
0;453600;453600;0;2004;0;2100;1682
0;470400;470400;0;10992;0;2025;8520
0;504000;504000;0;16677;0;1890;12288
0;540000;540000;0;24037;0;1764;16565
0;588000;588000;0;19550;0;1620;12379
0;604800;604800;0;2195;0;1575;1357
0;607500;607500;0;45249;0;1568;27875
hyperperiod;952560000
